#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
𥥝,宀用 by,宀用 by,宀用 by,穴用xy,穴用 et,pw,,,
𥧱,穴庸 xy,宀月 bo, bl,穴庸xy, et,pw,,,
𦃽,糸邕 sy,糹巴 sb, yb,糸邕sy,糹巴 im,xv,,,
𦤘,亠自 wz,亠自 wz,亠自 wz,.zx,自 go,yj,,,
𦨤,永舟 yv,永舟 yv,永舟 yv,舟永vy｜永舟yv,丶舟 ii,yn,,,
𦨬,舟永 vy,舟永 vy, vy,舟永vy,舟 ik,te,,,
𧖇,广虫 gi,广虫 gi,广虫 gi,.iy｜虫隹iv｜广虫gi,广虫 xc,yv,,,
𧗴,彳亍 xi,彳用 ry, ii,彳亍xi,行 pt,tc,,,
𧝸,衤雍 yy,衤{隹右} pv, pf,衤雍yy,衤隹 tu,pu,,,
𧲤,豸牛 vn,豸牛 vn,豸牛 vn,豸牛vn,豸牛 mq,ee,,,
𧴄,豸庸 vy,豸月 vo, vl,豸庸vy,豸 mt,ee,,,
𧴗,豸雍 vy,豸{隹右} vv, vf,豸雍vy,豸隹 mu,ee,,,
𧺸,土口 tk,土口 tk,土口 tk,.zh｜走口zk,走口 pd,fh,,,
𧻹,土用 ty,土用 ty,土用 ty,走甬zy,走 pt,fh,,,
𨓨,辶用 zy,辶用 zy,辶用 zy,辶角zj,⺈辶 xu,qe,,,
𨤂,酉酉 yy,酉酉 yy,一酉 yy,酉酉yy,酉酉 yy,sg,,,
𨴭,門甬 my,門用 my,門甬 my,門甬my,門 at,uc,,,
𨶽,尸王 uw,尸王 uw,尸王 uw,居閏jr,尸王 cn,nd,,,
𩆄,雨雍 yy,雨{隹右} yv, yf,雨雍yy,隹 tu,fy,,,
𩍓,革雍 gy,革{隹右} gv, gf,革雍gy,革隹 tu,af,,,
𩔔,禹頁 yy,禹頁 yy,禹貝 yb,禹頁yy,丿頁 tw,tk,,,
𩜳,飠勇 uy,飠力 ul, rl,飠勇uy,力 qs,wy,,,
𩟀,飠雍 uy,飠{隹右} uv, rf,飠雍uy,隹 qu,wy,,,
𩟷,. uy,巛艮 vg, vl,.uy,巛 oq,vk,,,
𩤛,馬禺 my,馬丶 md,馬禺 my,.mo｜馬禺my,馬⽱ nv,cj,,,
𩬮,髟用 iy,E用 ey, ay,髟用iy,镸用 pt,de,,,
𪄉,巛鳥 vn,巛鳥 vn,巛鳥 vn,鳥邕ny｜邕鳥yn,巛鳥 ox,vk,,,
𪅟,鳥庸 ny,鳥月 no, nl,鳥庸ny,鳥 xt,wv,,,
𪇛,广鳥 gn,广鳥 gn,广鳥 gn,广鳥gn｜鳥隹nv,广鳥 xx,yx,,,
優,亻攵 rw,亻夂 rw,亻夂 rw,亻攵rw,亻夂 jh,wd,,人一 rh,
遊,辶子 zz,辶子 zz,辶子 zz,辶斿zy｜辶子zz,方辶 lu,yt,,丶辶 dz,
猶,犭酉 qy,犭酉 qy,犭酉 qy,犭酋qq,犭酉 my,qt,,丿丶 pd,
憂,一攵 aw,百夂 bw, aw,心夊xw｜一攵aw｜夊心wx,夂 wh,de,,一丶 hd,
楢,木酉 my,木酉 my,木一 my,木酋mq,木酉 ey,su,,木丶 md,
尢,𠂇乚 uv,𠂇乚 uv,𠂇乛 uv,一乚ag｜{尢}yb,尢 oy,dn,一乛 av,一乛 hv,一乛hv
誘,言秀 yx,訁乃 yn,大夕 wn,言秀yx,言乃 sv,yt,,讠禾 ae,
郵,耳垂 ei,千⻏ qe, ie,耳垂ei,千阝 lt,tg,,丿乛 pv,
梄,木酉 my,木酉 my,木一 my,木酉my,木酉 ey,ss,,木一 mh,
甴,丨丨 aa,日丨 ol, la,丨丨aa,甴 dy,jh,,丨一 sh,
輶,車酉 iy,車酉 iy,車酉 iy,車酋iq,車酉 yy,lu,,一丶 hd,
鮋,魚由 yy,魚由 yy, ay,魚由yy,魚由 wd,qo,,丿丨 ps,
逰,辶子 zz,辶子 zz,辶子 zz,辶子zz,扌辶 uu,rt,,扌辶 fz,
嚘,口夂 kw,口夂 kw,口夂 kw,口憂ky,口夂 dh,kd,,口一 kh,
湵,. dj,氵久 dj,氵久 dj,.dj｜氵羑dy,氵㇏ ki,iu,,氵丶 ud,
滺,氵心 dx,氵心 dx,氵心 dx,氵悠dy,氵心 kh,iw,,氵人 ur,
訧,言尤 yy,訁尤 yy,束鳥 wy,言尤yy,言尤 so,yd,,讠一 ah,
苃,艹友 cy,艹又 cy,艹友 cy,艹友cy,艹又 lr,ad,,艹丶 cd,
輏,車酉 iy,車酉 iy,車酉 iy,車酉iy,車酉 yy,ls,,一一 hh,
銪,金月 jo,金月 jo,金月 jo,金有jy,金⺝ zv,qd,,钅一 jh,
姷,女月 no,女月 no,女月 no,女有ny,女⺝ bv,vd,,女一 nh,
丣,. ak,{一}丨 al, aa,.ak,丣 bm,ga,,一一 hh,
狖,犭八 qb,犭八 qb,犭八 qb,犭穴qx,犭穴 me,qt,,丿宀 pb,
鄾,耳憂 ey,百⻏ be, ae,耳憂ey,阝 wt,de,,一乛 hv,
櫌,木夂 mw,木夂 mw,木夂 mw,木憂my,木夂 eh,sd,,木一 mh,
沋,氵尤 dy,氵尤 dy,氵尤 dy,氵尤dy,氵尤 ko,id,,氵一 uh,
瀀,氵夂 dw,氵夂 dw, dw,氵憂dy,氵夂 kh,id,,氵一 uh,
鈾,金由 jy,金由 jy,金由 jy,金由jy,金由 zd,qm,,钅丨 js,
㒡,亻糸 rx,亻糸 rx,亻系 rx,亻繇ry,亻糸 ji,we,,,
㓜,幺刀 yd,幺刀 yd,幺刀 yd,刀幺dy,幺刀 ip,xv,,,
㕗,𦍌厶 ys,𦍌厶 ys,羑厶 ys,厶羑sy,⺷厶 gk,ug,,,
㕱,口尤 ky,口尤 ky,口尤 ky,口尤ky,口尤 do,kd,,,
㘥,囗糸 kx,囗糸 kx,囗糸 kx,.wy,囗糸 ri,le,,,
㚭,女尤 ny,女尤 ny,女尤 ny,女尤ny,女尤 bo,vd,,,
㛜,亻女 rn,亻女 rn,亻女 rn,女攸ny,亻女 jb,wh,,,
㤑,忄口 xk,忄口 xk,忄口 xk,心右xy,忄口 hd,nd,,,
㫍,方攵 fw,方攵 fw, fw,方攸fy,方攵 lh,yt,,,
㮋,木⻏ me,木⻏ me,木⻏ me,木郁my,木阝 et,sd,,,
㰶,欠咎 qj,夂欠 wq, wr,欠咎qj,夂欠 he,th,,,
㳺,氵子 dz,氵子 dz,氵子 dz,氵子dz,氵子 kh,ir,,,
㹨,犭由 qy,犭由 qy,犭由 qy,犭由qy,犭由 md,qt,,,
㺠,犭瓜 qg,犭瓜 qg,犭瓜 qg,犭窳qy,犭瓜 my,qt,,,
㻀,𤣩乀 wn,𤣩乀 wn,𤣩乀 wn,王臾wy,王 nb,gj,,,
㽕,由㇉ yv,由㇉ yv,由㇉ yv,.yh,由马 dn,mn,,,
㾞,疒酉 by,疒酉 by,疒酉 by,疒酉by,疒酉 ay,us,,,
䀁,𠂇皿 um,𠂇皿 um,𠂇皿 um,皿有my,𠂇皿 na,de,,,
䅎,禾乃 hn,禾乃 hn,禾乃 hn,禾秀hx,禾乃 xv,tt,,,
䆜,宀月 bo,宀月 bo, bo,穴有xy,穴⺝ ev,pw,,,
䑻,舟子 vz,舟子 vz, vz,.vy,舟子 ih,te,,,
䒴,艹月 co,艹月 co,止寸 co,艹有cy,艹⺝ lv,ad,,,
䖻,. il,虫𫶧 ii,竹也 iv,.il,虫 co,jy,,,
䚃,見卣 jy,⺊見 bj,金巾 le,見卣jy,⺊見 ye,hl,,,
䛻,言盾 yd,訁目 yo, wo,言盾yd,言目 sq,yr,,,
䞥,土月 to,土月 to,亻口 to,走有zy,走⺝ pv,fh,,,
䢊,辶子 zz,辶子 zz, zz,辶子zz,子辶 hu,bp,,,
䢟,辶攵 zw,辶攵 zw,艹口 zw,辶放zf,方辶 lu,yt,,,
䬀,風幼 fy,風力 fl,几力 jl,風幼fy,⺇力 os,mt,,,
䱂,魚幼 yy,魚力 yl, al,魚幼yy,魚力 ws,qo,,,
䳑,𠂇鳥 un,𠂇鳥 un,𠂇鳥 un,鳥有ny,𠂇鳥 nx,de,,,
亴,亠九 wj,亠九 wj,亠九 wj,.dj｜亠九wj,九 gk,yp,,丶乛 dv,
偤,亻酉 ry,亻酉 ry,亻酉 ry,亻酋rq,亻酉 jy,wu,,人丶 rd,
哊,口月 ko,口月 ko,口月 ko,口有ky,口⺝ dv,kd,,口一 kh,
唀,口乃 kn,口乃 kn,口乃 kn,口秀kx,口乃 dv,kt,,口禾 ke,
峟,山有 uy,山月 uo, eo,山有uy,山⺝ vv,md,,丨月 sy,
峳,. uw,山攵 uw, ew,.uw｜山攸uy,山攵 vh,mw,,丨丶 sd,
庮,广酉 gy,广酉 gy,广酉 gy,广酉gy,广酉 xy,ys,,丶一 dh,
怣,心失 xu,丿心 px, ux,心失xu,丿心 th,rw,,丿忄 px,
懮,忄夂 xw,忄夂 xw,忄夂 xw,心憂xy,忄夂 hh,nd,,忄一 xh,
栯,木月 mo,木月 mo,木月 mo,木有my,木⺝ ev,sd,,木一 mh,
櫾,. mx,木糸 mx,木系 mx,.mx｜木繇my,木糸 ei,se,,木丿 mp,
禉,󰃲󰁶󰄒󰂶 py,礻酉 py,礻酉 py,示酋uq,礻酉 fy,py,,丶丶 dd,
秞,禾由 hy,禾由 hy,禾由 hy,禾由hy,禾由 xd,tm,,禾丨 es,
纋,糸憂 sy,糹夂 sw, yw,糸憂sy,糹夂 ih,xd,,纟一 ih,
羪,羊良 yl,羊良 yl,羊良 yl,羊良yl,⺶艮 gi,ud,,丶丶 dd,
聈,耳力 el,耳力 el,耳力 el,耳幼ey,耳力 qs,bx,,一纟 hi,
肬,月尤 oy,⺼尤 oy,⺼尤 oy,月尤oy,月尤 vo,ed,,月一 yh,
蕕,艹猶 cy,艹酉 cy,艹猶 cy,艹酋cq｜艹猶cy,艹酉 ly,aq,,艹一 ch,
蜏,虫乃 in,虫乃 in,虫乃 in,虫秀ix,虫乃 cv,jt,,虫禾 oe,
貁,豸八 vb,豸八 vb,豸八 vb,豸穴vx,豸穴 me,ee,,丿宀 pb,
迶,辶月 zo,辶月 zo,辶月 zo,辶有zy,𠂇辶 nu,de,,一辶 hz,
逌,辶口 zk,辶コ zk, za,辶口zk｜辶卣zy,⺊辶 yu,hl,,丨辶 sz,
酭,酉月 yo,酉月 yo,酉月 yo,酉有yy,酉⺝ yv,sg,,一一 hh,
駀,馬尤 my,馬尤 my,馬尤 my,馬尤my,馬尤 no,cd,,一一 hh,
魷,魚尤 yy,魚尤 yy, ay,魚尤yy,魚尤 wo,qo,,丿一 ph,
𠖋,冖田 bt,冖田 bt,冖田 bt,冖田bt,冖田 wq,pw,,,
𠘳,几山 ju,⺇山 ju, je,几山ju,几山 ov,mm,,,
𠢢,柔幼 ry,矛力 ml,竹也 sl,柔幼ry,予力 is,cb,,,
𠧠,. yy,𠃊コ vk, lv,.yy,⺊㇗ ya,hl,,,
𠧴,. yt,𠃊人 vr, lv,.yt,⺊㇗ ya,hl,,,
𠨦,卩去 eq,百卩 be, ae,頁却yq｜卩去eq,页卩 wz,de,,,
𠮫,丸口 wk,丸口 wk,丸口 wk,口丸kw｜丸口wk,九口 kd,vy,,,
𡇀,. ku,囗殳 ku, ky,.ku,囗殳 rr,lm,,,
𡈙,. kn,囗鳥 kn,囗鳥 kn,.kn,囗鳥 rx,lw,,,
𡈰,囗口 kk,囗口 kk,囗口 kk,.ky,囗口 rd,ly,,,
𡈵,囗𧘇 ky,囗𧘇 ky,囗𧘇 ky,.kh,囗 rt,lg,,,
𡊧,土卩 te,土卩 te,土卩 te,土卯tm,土卯 gb,fq,,,
𡋧,爫土 vt,爫土 vt,金巾 pt,.tv｜爫土vt｜土冖tb,爫土 yg,ep,,,
𡜳,女酉 ny,女酉 ny,女酉 ny,女酉ny,女酉 by,vs,,,
𡯉,尢又 yy,尢又 yy,尢又 yy,.wy｜尢又yy,尢又 or,dn,,,
𡯙,尢日 yo,尢日 yo,尢日 yo,.wo｜尢日yo,尢日 oo,dn,,,
𡺒,山丶 ud,山𧘇 uy, en,山丶ud,山人 vj,md,,,
𡺖,山幽 uy,山幺 uy, ee,山幽uy,山幺 vi,mx,,,
𢆶,幺幺 yy,幺幺 yy,幺幺 yy,幺幺yy,幺幺 ii,xx,,,
𢈓,广月 go,广月 go,广月 go,广有gy,广⺝ xv,yd,,,
𢋣,广夂 gw,广夂 gw,广夂 gw,广憂gy,广夂 xh,yd,,,
𢓿,彳心 xx,彳心 rx, ix,彳心xx,彳心 wh,tt,,,
𢖟,彳繇 xy,彳糸 rx, ix,彳繇xy,彳糸 wi,te,,,
𢟅,亻心 rx,亻心 rx,亻心 rx,修心xx,亻心 jh,wh,,,
𢪥,手勿 uw,手勿 uw,手勿 uw,手勿uw,手 ue,rq,,,
𢿚,又又 yy,又又 yy,又又 yy,.wx｜攴山pu｜又攴yp,又攴 rh,cc,,,
𣁨,文拍 wp,百文 bw, aw,頁文yw｜文拍wp,页文 wv,de,,,
𣅄,廴日 zo,廴日 zo,廴日 zo,日廴oz,日廴 ou,jp,,,
𣅺,日力 ol,日力 ol,日力 ol,日幼oy,日力 os,jx,,,
𣏞,木尤 my,木尤 my,木尤 my,木尤my,木尤 eo,sd,,,
𣓐,木油 my,木由 my,木由 my,木油my,木由 ed,si,,,
𣓛,木匕 mb,木匕 mb,木匕 mb,木匕mb,木 ev,st,,,
𣢄,欠幺 qy,幺欠 yq,亻口 yr,欠幺qy,幺欠 ie,xq,,,
𣢜,幼欠 yq,幺欠 yq, yr,欠幼qy｜幼欠yq,幺欠 ie,xl,,,
𣣜,糸欠 sq,糸欠 xq, yr,.gq｜欠力ql｜糸欠sq,糹欠 ie,xl,,,
𣣸,欠人 qr,𠃊欠 vq, lr,.qy｜欠人qr,⺊欠 ye,hl,,,
𣤎,逍欠 xq,辶欠 zq, zr,.qz｜欠逍qx｜逍欠xq,⺌辶 yu,ie,,,
𣧗,歹尤 dy,歹尤 dy,歹尤 dy,歹尤dy,歹尤 go,gq,,,
𣧥,歹力 dl,歹力 dl,歹力 dl,歹幼dy,歹力 gs,gq,,,
𣸠,氵刂 dd,氵刂 dd,氵刂 dd,氵列dl,氵刂 kp,ix,,,
𣿤,氵久 dj,氵久 dj,氵久 dj,氵久dj,氵㇏ ki,ih,,,
𤄘,氵夂 dw,氵夂 dw,氵夂 dw,氵夂dw,氵夊 kh,ip,,,
𤍕,木火 mh,木火 mh,木火 mh,火酉hy,木火 ec,ss,,,
𤘜,牛尤 ny,牜尤 ny,牛尤 ny,牛尤ny,牜尤 qo,tr,,,
𤣙,犭攵 qw,犭攵 qw,犭攵 qw,犭政qv,犭攵 mh,qt,,,
𤤧,王由 wy,𤣩由 wy,王由 wy,王由wy,王由 nd,gm,,,
𤤬,𤣩力 wl,𤣩力 wl,王力 wl,王幼wy,王力 ns,gx,,,
𤪎,. yy,𠃊玉 vy, ly,.yy,⺊丶 yi,hl,,,
𤱎,田力 tl,田力 tl,田力 tl,田幼ty,田力 qs,lx,,,
𤴨,疒又 by,疒又 by,疒又 by,疒又by,疒又 ar,uc,,,
𤸈,疒酉 by,疒酉 by,疒酉 by,疒酋bq,疒酉 ay,uu,,,
𥙾,示秀 ux,示乃 un, pn,示秀ux,礻乃 fv,py,,,
𥜚,示憂 uy,示夂 uw,艹口 pw,示憂uy,礻夂 fh,py,,,
𥝘,禾夕 hx,禾夕 hx,禾夕 hx,禾夕hx,禾夕 xl,tq,,,
𥣯,禾夂 hw,禾夂 hw,禾夂 hw,禾憂hy,禾夂 xh,td,,,
𥯞,竹子 vz,竹子 vz,竹子 vz,竹子vz,⺮子 rh,ty,,,
𥴕,竹猶 vy,竹酉 vy,竹酉 vy,竹猶vy,⺮酉 ry,tq,,,
𥽟,米夂 mw,米夂 mw,米夂 mw,米憂my,米夂 ph,od,,,
𦎓,羊儿 ye,羊𫶧 yi, yv,.yl｜羊儿ye,⺶ go,ud,,,
𦏇,𦍌久 yj,𦍌久 yj,羑久 yj,羑羑yy,羊㇏ gi,ud,,,
𦑸,羽攵 yw,彳习 rx, ix,.yx｜彳羽xy｜羽攵yw,彳羽 wz,ti,,,
𦥣,臼尤 jy,臼尤 jy,臼尤 jy,臼尤jy,臼尤 po,vd,,,
𦩲,舟酉 vy,舟酉 vy,土攵 vy,舟酋vq,舟酉 iy,te,,,
𦳧,艹子 cz,艹子 cz,艹子 cz,.cy｜艹子cz,⺿子 lh,ay,,,
𦳩,艹月 co,艹月 co,目口 co,艹囿cy,⺿⺝ lv,al,,,
𦳷,艹酉 cy,艹酉 cy,艹酉 cy,艹酋cq,⺿酉 ly,au,,,
𦵵,. cy,艹人 cr,口糸 cv,.cy,⺿㇗ la,ah,,,
𦷿,艹卣 cy,艹コ ck,扌也 cz,艹卣cy,⺿辶 lu,ah,,,
𦸙,艹⻏ ce,艹⻏ ce, ce,艹郵cy,⺿阝 lt,at,,,
𧀥,艹夂 cw,艹夂 cw,土氏 cw,艹憂cy,⺿夂 lh,ad,,,
𧅲,艹木 cm,艹木 cm,艹木 cm,艹林cl,⺿木 le,al,,,
𧆕,艹禾 ch,艹禾 ch,艹禾 ch,艹禾ch,⺿禾 lx,al,,,
𧆘,艹木 cm,艹木 cm,艹木 cm,艹木cm,⺿木 le,al,,,
𧍘,虫幽 iy,虫幺 iy, ie,虫幽iy,虫幺 ci,jx,,,
𧠶,有見 yj,𠂇見 uj, ue,見有jy｜有見yj,𠂇見 ne,de,,,
𧡹,. jy,𠃊見 vj, le,.jy,⺊見 ye,hl,,,
𧰰,豕尤 uy,豕尤 uy,豕尤 uy,豕尤uy,豕尤 jo,ed,,,
𨑫,辶尤 zy,辶尤 zy,辶尤 zy,辶尤zy,尤辶 ou,dn,,,
𨗰,辶糸 zx,辶糸 zx,辶糸 zx,辶糸zs,⺊辶 yu,hl,,,
𨘁,辶糸 zx,辶糸 zx,辶糸 zx,辶糸zs,幺辶 iu,xy,,,
𨘵,辶見 zj,辶見 zj, ze,辶見zj,⺊辶 yu,hl,,,
𨙂,辶糸 zx,辶糸 zx,辶糸 zx,辶繇zy,爫辶 yu,er,,,
𨛕,卣阝 ye,⺊⻏ be,目口 le,.ey｜卣阝ye,⺊阝 yt,hl,,,
𨡴,酉丷酉 yy,酉酉 yy,酉酉 yy,酉酋yq,酉酉 yy,sg,,,
𨸙,阝阝 ee,⻖⻏ ee,⻖⻏ ee,阝阝ee,阝阝 tt,bb,,,
𩑣,尤頁 yy,尤頁 yy,尤貝 yb,尤頁yy,尤頁 ow,dn,,,
𩗚,風攸 fy,風攵 fw, jw,風攸fy,⺇攵 oh,mt,,,
𩘈,風幽 fy,風幺 fy, je,風幽fy,⺇幺 oi,mt,,,
𩘓,風子 fz,風子 fz,几子 jz,.fy｜風子fz,⺇子 oh,mt,,,
𩤹,馬日 mo,馬日 mo,馬日 mo,馬香mx,馬日 no,ct,,,
𩥘,馬攵 mw,馬攵 mw,馬攵 mw,馬攸my,馬攵 nh,cm,,,
𩲎,鬼少 gu,鬼少 gu,鬼少 gu,鬼少gu,鬼丿 at,rq,,,
𩴑,鬼彡 gp,鬼彡 gp,火日 gp,鬼參gc,鬼彡 ae,rq,,,
𩴙,鬼木 gm,鬼木 gm,鬼木 gm,鬼深gu,鬼木 ae,rq,,,
𩹊,魚子 yz,魚子 yz, az,.yy｜魚子yz,魚子 wh,qo,,,
𩽇,魚憂 yy,魚夂 yw, aw,魚憂yy,魚夂 wh,qo,,,
𩿬,由鳥 yn,由鳥 yn,由鳥 yn,鳥由ny｜由鳥yn,由鳥 dx,mw,,,
吾,五口 wk,五口 wk,五口 wk,五口wk｜口五kw,五口 wd,gk,五口 wk,一口 hk,一口hk
奥,丿大 pd,丿大 pd,丿大 pd,大米dm｜丿大pd,丿大 tm,tm,丿大 pd,丿丶 pd,丿大pl
粥,弓弓 gg,弓米 gm,弓弓 gg,米弓mg｜弓弓gg,弓弓 bb,xo,弓弓 gg,乛丶 vd,弓米gj
谷,八口 bk,八口 bk,八口 bk,八口bk｜口人kr,谷 hg,ww,八口 bk,丿口 pk,八口bk
與,𦥑八 jb,𦥑八 jb, pb,八一ba｜𦥑八jb, ph,"vg,wf",,丿丶 pd,
馀,饣余 uy,饣朩 um,口糸 uh,饣余uy,饣 qx,qn,饣朩 ux,丿人 pr,饣人sr
語,言吾 yw,訁口 yk, wk,言吾yw,言口 sd,yg,,讠一 ah,
菀,艹乛 cv,艹㔾 cv,艹乛 cv,艹宛cw,艹⺋ lz,ap,艹㔾 cv,艹乛 cv,艹乛cv
込,辶入 zr,辶入 zr,辶入 zr,辶入zr,入辶 ju,ty,辶入 zr,丿辶 pz,
慾,心欲 xy,谷心 gx, rx,心欲xy,谷心 hh,ww,,丿忄 px,
餘,飠余 uy,飠朩 um, rh,飠余uy,飠 qx,"wp,wy",,人人 rr,
鬱,木彡 mp,木彡 mp,木彡 mp,缶彡fp｜木彡mp,木彡 ee,sr,,木丿 mp,
魚,⺈灬 dh,⺈灬 dh,⺈灬 dh,⺈灬dh,魚 wv,qo,,丿丶 pd,
禦,示御 uy,彳示 ru, ix,示⺋ue｜示御uy,彳示 wf,tr,,丿丶 pd,
踰,𧾷刂 zd,𧾷刂 zd,𧾷刂 zd,足俞zy,⻊刂 pp,kh,,⻊人 zr,
癒,疒心 bx,疒心 bx,扌也 bx,疒愈by,疒心 ah,uw,,丶忄 dx,
預,頁予 yy,予頁 yy, sb,頁予yy,予頁 iw,cb,,乛一 vh,
貐,豸刂 vd,豸刂 vd,豸刂 vd,豸俞vy,豸刂 mp,ee,,丿人 pr,
歟,欠與 qy,𦥑欠 jq, pr,欠與qy,欠 pe,"vg,wf",,丿丿 pp,
獄,犭犬 qq,犭犬 qq,犭犬 qq,犭犬qq,犭犬 mm,qt,,丿讠 pa,
薁,艹丶 cd,艹大 cd,艹大 cd,艹奥ca,艹大 lm,at,艹大 cd,艹丶 cd,艹大cl
輿,𦥑八 jb,𦥑八 jb, pb,八一ba｜車八ib｜𦥑八jb, ph,"vl,wf",,丿丶 pd,
汩,氵曰 do,氵曰 do,氵日 do,氵曰do｜氵曰dy,氵曰 ko,ij,氵日 do,氵日 ul,氵日ul
璵,𤣩八 wb,𤣩八 wb,王八 wb,王與wy,王 nh,"gv,gw",,王丿 wp,
譽,言與 yy,𦥑口 jk, pk,𦥑言jy｜言與yy,言 ps,"vg,wf",,丿讠 pa,
儥,亻貝 rb,亻貝 rb,亻貝 rb,亻賣rm,亻貝 jo,wf,,人土 rt,
旟,方八 fb,方八 fb,方八 fb,方與fy,方 lh,yt,,丶丿 dp,
籲,竹頁 vy,竹頁 vy, vb,竹頁vy,⺮頁 rw,tw,,⺮丶 gd,
轝,車與 iy,𦥑車 ji, pi,車與iy,車 py,"vg,wf",,丿丨 ps,
鬰,木彡 mp,木彡 mp,木彡 mp,木彡mp｜.yp,木彡 ee,sq,,木丿 mp,
圫,土七 tq,土七 tq,土七 tq,土七tq｜.tt,土七 gr,ft,土七 tq,土丿 tp,土丿tp
諭,言俞 yy,訁刂 yd, wd,言俞yy,言刂 sp,yw,,讠人 ar,
玗,王于 wy,𤣩于 wy,王于 wy,王于wy,王 nn,gg,,王一 wh,
漁,氵魚 dy,氵魚 dy, da,氵魚dy,氵魚 kw,iq,,氵丿 up,
爩,. hp,火彡 hp,火彡 hp,.hp｜火鬱hy,火彡 ce,os,,火木 qm,
隩,⻖大 ed,⻖大 ed,阝大 ed,阝奥ea,阝大 tm,bt,阝大 ed,乛丿 vp,阝丿ep
喩,口巜 kv,口巜 kv,口巜 kv,.kd｜口俞ky,口巜 do,kw,,口人 kr,
鋊,金谷 jg,金谷 jg, jk,金谷jg,金谷 zh,qw,,钅丿 jp,
馭,馬又 my,馬又 my,馬又 my,馬又my,馬又 nr,cc,,一乛 hv,
灪,. dp,氵彡 dp,氵彡 dp,.dp｜氵鬱dy,氵彡 ke,is,,氵木 um,
茟,艹聿 cy,艹聿 cy,艹聿 cy,艹聿cy,艹聿 lb,av,,艹丨 cs,
亐,一㇉ av,一㇉ av,一㇉ av,.ag,二ㄅ ma,fn,,一乛 hv,
娯,女八 nb,女八 nb,女八 nb,.nw,女 bh,vk,,女口 nk,
祤,礻习 px,礻习 px,礻习 px,示羽uy,礻羽 fz,py,,丶乛 dv,
飫,食夭 uy,飠夭 uy, ry,食夭uy,飠大 qm,"wp,wy",,人丿 rp,
鰅,魚禺 yy,魚丶 yd,辶攵 ay,魚禺yy,魚⽱ wv,qo,,丿日 pl,
齬,止口 vk,止口 vk,止口 vk,齒吾iw,齒口 ld,"hb,hw",,丨一 sh,
澞,氵{𠃑大} dt,氵{𠃑大} dt,氵{𠃑大} dt,.dw｜氵虞dy,氵大 km,ih,,氵丨 us,
灹,火七 hq,火七 hq,火七 hq,火七hq｜.ht,火七 cr,ot,,火丿 qp,
鍝,金禺 jy,金丶 jd,金禺 jy,金禺jy,金⽱ zv,qj,,钅日 jl,
鐭,金大 jd,金大 jd,金大 jd,金奥ja,金大 zm,qt,,钅丿 jp,
騟,馬刂 md,馬刂 md,馬刂 md,馬俞my,馬刂 np,cw,,一人 hr,
驈,. mk,馬口 mk,馬口 mk,.mk｜馬矞my,馬口 nd,cc,,一乛 hv,
齵,齒禺 iy,止丶 vd, vy,齒禺iy,齒⽱ lv,"hb,hw",,丨日 sl,
龥,龠頁 yy,𠆢頁 ry, rb,.yc｜龠頁yy,侖頁 jw,wg,,人一 rh,
楡,木巜 mv,木巜 mv,來力 mv,.md｜木俞my,木巜 eo,sw,,木人 mr,
焴,火⺝ ho,火⺝ ho,火⺝ ho,火育hy,火⺝ cv,oy,,火丶 qd,
鈺,金玉 jy,金玉 jy,金玉 jy,金玉jy,金丶 zi,qg,,钅王 jw,
錥,金⺝ jo,金⺝ jo,金⺝ jo,金育jy,金⺝ zv,qy,,钅丶 jd,
俁,亻吴 rw,亻{𠃑大} rt, rd,亻吴rw,亻大 jm,wk,,人口 rk,
唹,口丶 kd,口⺀ kd,口⺀ kd,口於ky,口⺀ dw,ky,,口丶 kd,
堣,土禺 ty,土丶 td,土禺 ty,土禺ty,土⽱ gv,fj,,土日 tl,
娛,女吴 nw,女{𠃑大} nt, nd,女吴nw,女大 bm,vk,,女口 nk,
戫,𠂇{一} ua,𠂇{一} ua,𠂇{一} ua,有或yh,𠂇㇀ nf,de,,一一 hh,
盓,氵皿 dm,氵皿 dm,氵皿 dm,皿于my,氵皿 ka,ig,,氵一 uh,
礜,石與 uy,𦥑石 ju,女皿 pu,石與uy,石 pm,"vg,wf",,丿口 pk,
箊,竹⺀ vd,竹⺀ vd,土火 vd,𥫗於vy,⺮⺀ rw,ty,,⺮丶 gd,
緎,糸或 sh,糹{一} sa,火土 ya,糸或sh,糹㇀ if,xa,,纟一 ih,
芌,艹亏 ck,艹丂 ck,艹亏 ck,艹亏ck,艹ㄅ la,af,,艹乛 cv,
輍,車谷 ig,車谷 ig, ik,車谷ig,車谷 yh,lw,,一丿 hp,
迃,辶亏 zk,辶丂 zk, zk,辶亏zk,二辶 mu,fn,,一辶 hz,
铻,钅口 jk,钅口 jk,钅口 jk,金吾jw,钅口 zd,qg,钅口 jk,钅一 jh,钅一jh
閾,門{一} ma,門{一} ma,金夕 ma,門或mh,門㇀ af,ua,,丨丶 sd,
鴥,鳥八 nb,鳥八 nb,鳥八 nb,鳥穴nx,鳥穴 xe,wv,,丿宀 pb,
伃,亻予 ry,亻予 ry,亻斤 rl,亻予ry,亻予 ji,wc,,人乛 rv,
棛,木⺝ mo,木⺝ mo,土火 mo,木育my,木⺝ ev,sy,,木丶 md,
