#,万象,墨奇,野鹤,自然码,虎码首末,五笔前2,汉心码,首右,首右Plus
凟,冫貝 db,冫貝 db,冫貝 db,冫賣dm,冫貝 wo,uf,,丶土 dt,
櫝,木貝 mb,木貝 mb,木貝 mb,木賣mm,木貝 eo,sf,,木土 mt,
鍍,金又 jy,金又 jy,金又 jy,金度jd,金又 zr,qy,,钅丶 jd,
牘,片貝 pb,片貝 pb,片貝 pb,片賣pm,片貝 ao,th,,丿土 pt,
蠧,士虫 ui,士虫 ti, ui,虫石iu｜士虫ui,士虫 gc,fp,,土虫 to,
剢,刂豖 di,豖刂 ud, ad,刂丶dd｜刂豖di,豕刂 jp,ey,,一丨 hs,
涜,. de,氵儿 de, dj,.de｜.dk,氵儿 kp,if,,氵土 ut,
秺,禾七 hq,禾七 hq,禾七 hq,禾宅hv,禾七 xr,tp,,禾宀 eb,
錖,上金 uj,上金 uj,上金 uj,金叔ju,⺊金 yz,hi,,丨钅 sj,
鑟,金貝 jb,金貝 jb,金貝 jb,金賣jm,金貝 zo,qf,,钅土 jt,
㡯,广七 gq,广七 gq,广七 gq,.gv,广七 xr,yt,,,
㱩,歹⺀ dd,歹⺀ dd,歹⺀ dd,歹卖dm,歹大 gm,gq,,,
㸿,牜几 nj,牜几 nj,牜几 nj,.nm,牜几 qo,tr,,,
㾄,疒由 by,疒由 by,疒由 by,疒由by,疒由 ad,um,,,
䀾,石目 uo,石目 uo,石目 uo,.ou,石目 mq,dc,,,
䄍,礻日 po,礻日 po,礻日 po,示昔ux,礻日 fo,py,,,
䅊,禾七 hq,禾七 hq,禾七 hq,.hd,禾七 xr,ty,,,
䈞,𥫗日 vo,竹日 vo,亠方 vo,𥫗日vo,⺮日 ro,ty,,,
䐗,⺼日 oo,⺼日 oo,⺼日 oo,月者ov,月日 vo,ef,,,
䓯,艹母 cm,艹母 cm,艹母 cm,艹毒cd,艹母 lk,ag,,,
䙱,衤虫 pi,衤虫 pi,衤虫 pi,衤屬yu,衤虫 tc,pu,,,
䟻,足余 zy,𧾷朩 zm, zh,足余zy,⻊ px,kh,,,
䢱,辶貝 zb,辶貝 zb,辶貝 zb,辶賣zm,士辶 gu,fl,,,
䪅,革虫 gi,革虫 gi,革虫 gi,革蜀gu,革虫 tc,af,,,
䫳,頁蜀 yu,⺫頁 sy, sb,頁蜀yu,罒頁 yw,lq,,,
䮷,馬虫 mi,馬虫 mi,馬虫 mi,馬蜀mu,馬虫 nc,cl,,,
䲧,土鳥 tn,土鳥 tn,土鳥 tn,鳥土nt,土鳥 gx,fw,,,
匵,匚貝 kb,匚貝 kb, kb,匚賣km,匚貝 no,af,,一乛 hv,
嬻,女貝 nb,女貝 nb,女貝 nb,女賣nm,女貝 bo,vf,,女土 nt,
晵,户日 ho,户日 ho,户日 ho,日攵ow,户日 mo,yn,,丶日 dl,
暏,日耂日 oo,日日 oo,日日 oo,日者ov,日日 oo,jf,,日土 lt,
殬,歹干 dg,歹干 dg,歹干 dg,歹幸dx,歹 gg,gq,,一丨 hs,
殰,歹貝 db,歹貝 db,歹貝 db,歹賣dm,歹貝 go,gq,,一土 ht,
琽,𤣩日 wo,𤣩日 wo,𤣩日 wo,王者wv,王日 no,gf,,王土 wt,
瓄,𤣩貝 wb,𤣩貝 wb,王貝 wb,王賣wm,王貝 no,gf,,王土 wt,
皾,皮賣 pm,士皮 tp, uy,皮賣pm,士皮 gr,fl,,土乛 tv,
荰,艹土 ct,艹土 ct,艹土 ct,艹杜cd,艹土 lg,as,,艹土 ct,
螙,木虫 mi,木虫 mi,木虫 mi,木虫mi,木虫 ec,sj,,木虫 mo,
裻,上衣 uy,上衣 uy,上衣 uy,衣叔yu,⺊衣 yt,hi,,丨丶 sd,
豄,谷賣 gm,谷貝 gb, bb,谷賣gm,谷貝 ho,ww,,丿土 pt,
贕,卵貝 lb,卵貝 lb,卵貝 lb,卵賣lm,卵貝 bo,qy,,丿土 pt,
醏,酉耂日 yo,酉日 yo,酉日 yo,酉者yv,酉日 yo,sg,,一土 ht,
靯,革土 gt,革土 gt,革土 gt,革土gt,革土 tg,af,,艹土 ct,
韇,革貝 gb,革貝 gb,革貝 gb,革賣gm,革貝 to,af,,艹土 ct,
韣,. wi,𫝀虫 wi, vi,.wi｜韋蜀wu,韋虫 gc,nh,,乛丨 vs,
韥,韋賣 wm,𫝀貝 wb, vb,韋賣wm,韋貝 go,nh,,乛土 vt,
黷,黑賣 hm,{里}貝 lb,黑貝 hb,黑賣hm,黑貝 po,lf,,丨土 st,
𠉩,亻母 rm,亻母 rm,亻母 rm,亻毒rd,亻母 jk,wg,,,
𠠔,賣刀 md,士刀 td, ud,賣刀md｜.dm,士刀 gp,fl,,,
𠠠,賣刃 mr,士刃 tr, ur,賣刃mr｜.rm,士丶 gi,fl,,,
𠣰,勹日 bo,勹日 bo,勹日 bo,勹者gv,勹日 no,qf,,,
𡍨,土又 ty,土又 ty,土又 ty,土度td,土又 gr,fy,,,
𡎉,耂土 lt,耂土 lt,耂土 lt,者土vt｜土者tv,耂土 qg,ft,,,
𡝜,女古 ng,女古 ng, nk,女古ng,女古 bc,vr,,,
𢉜,广日 go,广日 go,广日 go,广者gv,广日 xo,yf,,,
𢝂,忄母 xm,忄母 xm,忄母 xm,心毒xd,忄母 hk,ng,,,
𢷺,扌貝 fb,扌貝 fb,扌貝 fb,扌賣fm,扌貝 uo,rf,,,
𢽚,. wi,豖又 uy, ay,.wi,豕攴 jh,ey,,,
𢾀,耂又 ly,耂又 ly,耂又 ly,.wv｜者攴vp｜攴者pv,耂攴 qh,ft,,,
𢾅,广攵 gw,广攵 gw,片方 gw,.wd,广攵 xh,ya,,,
𣧃,歹七 dq,歹七 dq,歹七 dq,.dv｜歹七dq,歹七 gr,gq,,,
𣨲,歹又 dy,歹又 dy,歹又 dy,歹度dd,歹又 gr,gq,,,
𣫔, td,士豖 tu,虫方 uy,殳丶ud｜殳豖ui,士殳 gr,fp,,,
𣰬,毛貝 mb,毛貝 mb,毛貝 mb,毛賣mm,毛貝 vo,tf,,,
𤚚,牜母 nm,牜母 nm,牛母 nm,牛毒nd,牜母 qk,tr,,,
𤚡,牜又 ny,牜又 ny,牜又 ny,牛度nd,牜又 qr,tr,,,
𤫻,止瓜 vg,止瓜 vg,木方 vg,瓜步gb｜步瓜bg,止瓜 sy,hi,,,
𤬂,叔瓜 ug,上瓜 ug,木口 ug,瓜叔gu｜叔瓜ug,⺊瓜 yy,hi,,,
𤬪,土瓦 tw,土瓦 tw,土瓦 tw,瓦土wt｜土瓦tw,土瓦 gr,fg,,,
𤴱,疒七 bq,疒七 bq,疒七 bq,.bv｜疒七bq,疒七 ar,ut,,,
𤵊,疒屯 bt,疒屯 bt,疒屯 bt,疒屯bt,疒 as,ug,,,
𤶮,. bh,疒七 bq,病匕 bb,.bh,疒七 ar,ug,,,
𥀁,者皮 vp,耂皮 lp, ly,皮者pv｜者皮vp,耂皮 qr,ft,,,
𥀲,皮賣 pm,皮貝 pb, vb,皮賣pm,皮貝 ro,hc,,,
𥃾,目土 ot,目土 ot,目土 ot,目土ot,目土 qg,hf,,,
𥑯,石冂 uk,石{屯} ut, uv,.ug｜石冂uk,石乚 ma,dp,,,
𥓇,夕石 xu,夕石 xu,夕石 xu,.ux｜夕石xu｜石止uv,夕石 lm,qh,,,
𥓍,叔石 uu,上石 uu,片方 uu,叔石uu,⺊石 ym,hi,,,
���,石虫 ui,石虫 ui,石虫 ui,石蜀uu,,dl,,,
𥖿,石貝 ub,石貝 ub,石貝 ub,石賣um,石貝 mo,df,,,
𥝟,禾土 ht,禾土 ht,禾土 ht,禾土ht,禾土 xg,tf,,,
𥝾,禾七 hq,禾七 hq,禾七 hq,.hj,禾七 xr,td,,,
𥯖,竹又 vy,竹又 vy,竹又 vy,𥫗度vd,⺮又 rr,ty,,,
𥲗,𥫗定 vd,竹龰 vz, vr,𥫗定vd,⺮疋 rt,tb,,,
𥳉,竹⻏ ve,竹⻏ ve,竹⻏ ve,竹都vd,⺮阝 rt,tf,,,
𥳲,竹立 vl,竹立 vl,竹立 vl,竹昱vy,⺮立 ri,tb,,,
𦌷,罒貝 sb,罒貝 sb,罒貝 sb,罒賣sm｜.sy,罒貝 yo,lf,,,
𦏕,羊虫 yi,羊虫 yi,羊虫 yi,羊蜀yu,⺶虫 gc,ud,,,
𦘴,月七 oq,⺼七 oq,⺼七 oq,.ov｜月七oq,月七 vr,et,,,
𦙋,⺼𠤎 ob,⺼𠤎 ob,⺼𠤎 ob,月丿op,月 vv,et,,,
𦚈,月石 ou,⺼石 ou,⺼石 ou,月石ou,月石 vm,ed,,,
𦛯,石月 uo,石月 uo,石月 uo,石月uo｜月又oy,石⺝ mv,dc,,,
𦡄,⺼⻏ oe,⺼⻏ oe,⺼⻏ oe,月都od,月阝 vt,ef,,,
𦳔,艹又 cy,艹又 cy,艹又 cy,艹度cd,⺿又 lr,ay,,,
𦺇,艹母 cm,艹母 cm,艹母 cm,艹毒cd,艹母 lk,ai,,,
𦺥,艹⻏ ce,艹⻏ ce,艹⻏ ce,艹都cd,⺿阝 lt,af,,,
𧁿,艹虫 ci,艹虫 ci,艹虫 ci,艹獨cd,⺿虫 lc,aq,,,
𧋌,十虫 ui,𰀉虫 gi,舟方 ai,虫冖ib｜十虫ui,十虫 nc,gk,,,
𧐰,冂虫 ki,冂虫 ki,冂虫 ki,冂蜀ku｜虫勹ig,冂虫 mc,mc,,,
𧑠,虫石 iu,虫石 iu,虫石 iu,虫石iu,虫石 cm,jg,,,
𧔬,虫木 im,虫木 im,虫木 im,虫橐it,虫木 ce,jg,,,
𧛔,衤母 pm,衤母 pm,衤母 pm,衤毒yd,衤母 tk,pu,,,
𧞹,土衣 ty,士衣 ty, uy,衣殳yu｜土衣ty,士衣 gt,fp,,,
𧰵,. iu,豖殳 uu, ay,.iu,豕殳 jr,ey,,,
𧷿,貝都 bd,貝⻏ be, oe,貝都bd,貝阝 ot,mf,,,
𧾥,土貝 tb,土貝 tb,土貝 tb,走賣zm,走貝 po,fh,,,
𨂭,𧾷母 zm,𧾷母 zm,𧾷母 zm,足毒zd,⻊母 pk,kh,,,
𨋈,車水 iu,車水 iu,虫方 iu,車水iu,車水 yk,li,,,
𨍛,車母 im,車母 im,車母 im,車毒id,車母 yk,lg,,,
𨏔,車貝 ib,車貝 ib,車貝 ib,車賣im,車貝 yo,lf,,,
𨽍,⻖貝 eb,⻖貝 eb,⻖貝 eb,阝賣em,阝貝 to,bf,,,
𩞾,飠蜀 uu,飠虫 ui, ri,飠蜀uu,虫 qc,wy,,,
𩥋,馬馬 mm,馬馬 mm,馬馬 mm,馬馬mm,馬馬 nn,cc,,,
𩧈,馬貝 mb,馬貝 mb,馬貝 mb,馬賣mm,馬貝 no,cf,,,
𩨳,出骨 ig,出⺼ io, ig,骨出gi｜出骨ig,屮 sf,bm,,,
𩩮,冎又 gy,冎又 gy,冎又 gy,骨度gd,又 fr,me,,,
𩵚,魚土 yt,魚土 yt, at,魚土yt,魚土 wg,qo,,,
𪍹,來虫 li,來虫 li,來虫 li,麥蜀mu,木虫 ec,sw,,,
𪐞,黑七 hq,{里}七 lq,黑七 hq,.hv｜黑七hq,黑七 pr,lf,,,
斷,𠃊斤 vj,𠃊斤 vj,𠃊斤 vj,斤𠃊ja｜斤𠃊jv｜斤幺jy,幺斤 it,xx,,纟丿 ip,
鍛,金段 jd,金殳 ju, jy,金段jd,金殳 zr,qw,,钅丿 jp,
躖,足幺 zy,𧾷幺 zy,𧾷幺 zy,.za｜足幺zy,⻊㇗ pa,kh,,⻊纟 zi,
腶,月段 od,⺼殳 ou, oy,月段od,月殳 vr,ew,,月丿 yp,
剬,刂而 de,山刂 ud, ed,刂而de,山刂 vp,md,,丨丨 ss,
鍴,. je,金而 je,金而 je,.je,金而 zl,qm,,钅丨 js,
葮,艹段 cd,艹殳 cu, cy,艹段cd,艹殳 lr,aw,,艹丶 cd,
媏,. ne,女而 ne,女而 ne,.ne,女而 bl,vm,,女丨 ns,
褍,衤而 pe,衤而 pe,丷力 pe,衤而ye,衤而 tl,pu,,丶丨 ds,
㫁,𠃊斤 vj,𠃊斤 vj,𠃊斤 vj,.jy,幺斤 it,xx,,,
㱭,歹段 dd,歹殳 du, dy,歹段dd,歹殳 gr,gq,,,
䠪,足幺 zy,𧾷幺 zy, zv,足幺zy,⻊㇗ pa,kh,,,
偳,亻而 re,亻而 re,亻而 re,亻而re,亻而 jl,wm,,人丨 rs,
毈,卵段 ld,卵殳 lu, ly,卵段ld,卵殳 br,qy,,丿丿 pp,
碫,石段 ud,石殳 uu, uy,石段ud,石殳 mr,dw,,一丿 hp,
籪,竹斤 vj,竹斤 vj,竹斤 vj,𥫗斷vd,⺮斤 rt,tx,,⺮丨 gs,
緞,糸段 sd,糹殳 su, yy,糸段sd,糹殳 ir,xw,,纟丿 ip,
𠡱,⺌力 xl,⺌力 xl,⺌力 xl,丶力dl｜力旦ld,⺌力 ys,ij,,,
𢯫,扌段 fd,扌殳 fu,木丰 fy,扌段fd,扌殳 ur,rw,,,
𢷖,扌幺 fy,扌幺 fy, fv,.fj｜扌幺fy,扌㇗ ua,rx,,,
𣠭,. mi,木幺 my, mv,.mi,木幺 ei,sx,,,
𥠄,禾而 he,禾而 he,禾而 he,禾耑hd,禾而 xl,tm,,,
𥵣,竹而 ve,竹而 ve,竹而 ve,𥫗端vd,⺮而 rl,tu,,,
𦾸,艹而 ce,艹而 ce,艹而 ce,艹端cd,⺿而 ll,au,,,
𧤗,⺈而 de,⺈而 de,⺈而 de,角耑jd,⺈而 xl,qe,,,
𧶲,貝耑 bd,貝而 be, oe,貝耑bd,貝而 ol,mm,,,
𨱚,镸殳 iu,E殳 eu, ay,镸殳iu,镸殳 pr,dm,,,
𨺣,阝段 ed,⻖殳 eu, ey,阝段ed,阝殳 tr,bw,,,
𩏇,韋段 wd,𫝀殳 wu,木方 vy,韋段wd,韋殳 gr,nh,,,
𩤚,馬而 me,馬而 me,馬而 me,馬耑md,馬而 nl,cm,,,
𩤣,馬段 md,馬殳 mu, my,馬段md,馬殳 nr,cw,,,
